Gene_Symbol,Boruta_Selezionato,Boruta_Tentativo,Boruta_Rank
ARFGEF2,False,False,7766
ARFIP1,False,False,4004
ARFIP2,False,False,11681
ARFRP1,False,False,446
ARG1,False,False,11681
ARG2,False,False,2568
ARGLU1,False,False,1160
ARHGAP1,False,False,11681
ARHGAP10,False,False,11681
ARHGAP11A,False,False,11681
ARHGAP12,False,False,7766
ARHGAP15 /// LOC101928361,False,False,6116
ARHGAP17,False,False,5102
ARHGAP19,False,False,3456
ARHGAP22,False,False,4004
ARHGAP24,False,False,1976
ARHGAP25,True,False,1
ARHGAP26,False,False,7766
ARHGAP28,False,False,7766
ARHGAP29,False,False,7766
ARHGAP32,False,False,7766
ARHGAP33,False,False,7766
ARHGAP35,False,False,1563
ARHGAP4,False,False,9195
ARHGAP44,False,False,4264
ARHGAP5,False,False,9587
ARHGAP6,False,False,1436
ARHGAP8 /// PRR5-ARHGAP8,False,False,1148
ARHGDIA,False,False,2889
ARHGDIB,False,False,3456
ARHGDIG,False,False,4004
ARHGEF1 /// LOC100505585,False,False,2947
ARHGEF10,False,False,11681
ARHGEF10L,False,False,7766
ARHGEF11,False,False,7766
ARHGEF12,False,False,5102
ARHGEF15,False,False,1718
ARHGEF16,False,False,7766
ARHGEF17,False,False,11681
ARHGEF18,False,False,7766
ARHGEF2,False,False,1498
ARHGEF26,False,False,5102
ARHGEF28,False,False,5102
ARHGEF3,False,False,1581
ARHGEF38,False,False,3456
ARHGEF4,False,False,11681
ARHGEF4 /// LOC101930241,False,False,293
ARHGEF40,False,False,11681
ARHGEF5,False,False,4004
ARHGEF6,False,False,5102
ARHGEF7,False,False,1432
ARHGEF9,False,False,1137
ARID1A,False,False,11681
ARID3A,False,False,11681
ARID3B,False,False,5102
ARID4A,False,False,7766
ARID4B,False,False,1993
ARID4B /// RBM34,False,False,7766
ARID5A,False,False,11681
ARID5B,False,False,11681
ARIH1,False,False,6116
ARIH2,False,False,5102
ARL1,False,False,3456
ARL14,False,False,5102
ARL15,False,False,7766
ARL17A /// ARL17B,False,False,11681
ARL17A /// ARL17B /// LOC100294341,False,False,11681
ARL2,False,False,9587
ARL2BP,False,False,11681
ARL3,False,False,7766
ARL4A,False,False,7766
ARL4C,False,False,2877
ARL4D,False,False,6116
ARL5A /// LOC101929356,False,False,2799
ARL6IP1,False,False,474
ARL6IP4,False,False,11681
ARL6IP5,False,False,762
ARL8B,False,False,7766
ARMC1,False,False,11681
ARMC2-AS1 /// ATP5J2,False,False,11681
ARMC4,False,False,11681
ARMC6,False,False,3456
ARMC7,False,False,1161
ARMC8,False,False,11681
ARMC9,False,False,11681
ARMCX1,False,False,5102
ARMCX2,False,False,1936
ARMCX3,False,False,1454
ARMCX4,False,False,7766
ARMCX5,False,False,6116
ARMCX6,False,False,11681
ARNT,False,False,9587
ARNT2,False,False,7766
ARNTL,False,False,7766
ARNTL2,False,False,11681
ARPC1A,False,False,1567
ARPC1B,False,False,7766
ARPC2,False,False,1490
ARPC3,False,False,7766
ARPC4,False,False,11681
ARPC4 /// ARPC4-TTLL3,False,False,6116
ARPC4 /// ARPC4-TTLL3 /// TTLL3,False,False,11681
ARPC5,False,False,6116
ARPC5L,False,False,7766
ARPIN,False,False,11681
ARPP19,False,False,310
ARPP21,False,False,4004
ARR3,False,False,7766
ARRB1,False,False,6116
ARRB2,False,False,3456
ARSA,False,False,11681
ARSB,False,False,9587
ARSD,False,False,7766
ARSE,False,False,9587
ARSF,False,False,4004
ARSJ,False,False,2971
ART1,False,False,5102
ART3,False,False,2546
ART4,False,False,3456
ARTN,False,False,11681
ARVCF,False,False,7766
ASAH1,False,False,7766
ASAP1,False,False,6116
ASAP1-IT1,False,False,7766
ASAP2,False,False,1823
ASAP3,False,False,11681
ASB1,False,False,11681
ASB12 /// MTMR8,False,False,9587
ASB13,False,False,11681
ASB4,False,False,7766
ASB6,False,False,5102
ASB7,False,False,9587
ASB8,False,False,7766
ASB9,False,False,7766
ASCC1,False,False,11681
ASCC2,False,False,3456
ASCC3,False,False,11681
ASCL1,False,False,3456
ASCL2,False,False,6116
ASCL3,False,False,5102
ASF1A,False,False,3456
ASF1B,False,False,11681
ASGR1,False,False,761
ASGR2,False,False,11681
ASH1L,False,False,7766
ASH2L,False,False,7766
ASIC1,False,False,9587
ASIC2,False,False,3456
ASIC4,False,False,7766
ASIP,False,False,3456
ASL,False,False,5102
ASMT,False,False,11681
ASMTL,False,False,2656
ASMTL-AS1,False,False,11681
ASNA1,False,False,2684
ASNS,False,False,9195
ASNSD1,False,False,7766
ASPA,False,False,11681
ASPH,False,False,11681
ASPHD1,False,False,11681
ASPM,False,False,1385
ASPN,False,False,11681
ASPSCR1,False,False,7766
ASRGL1,False,False,7766
ASS1,False,False,839
ASTE1,False,False,736
ASTN1,False,False,6116
ASTN2,False,False,6116
ASUN,False,False,3043
ASXL1,False,False,11681
ASXL2,False,False,458
ASXL3,False,False,5102
ATAD2,False,False,1481
ATAD2B,False,False,7766
ATAD3A /// ATAD3B,False,False,11681
ATAD5,False,False,7766
ATAT1,False,False,6116
ATF1,False,False,11681
ATF2,False,False,7766
ATF3,False,False,7766
ATF4,False,False,380
ATF5,False,False,9587
ATF6,False,False,7766
ATF6B,False,False,2321
ATF6B /// TNXB,False,False,9587
ATF7,False,False,6116
ATF7IP,False,False,6116
ATF7IP2,False,False,1875
ATG10,False,False,5102
ATG101,False,False,2805
ATG12,False,False,6116
ATG13,False,False,11681
ATG14,False,False,11681
ATG16L1,False,False,656
ATG2A,False,False,11681
ATG2B,False,False,7766
ATG3,False,False,5102
ATG4A,False,False,11681
ATG4B,False,False,7766
ATG5,False,False,11681
ATG7,False,False,7766
ATG9A,False,False,6116
ATHL1,False,False,7766
ATIC,False,False,599
ATM,False,False,5102
ATMIN,False,True,2
ATN1,False,False,11681
ATOH1,False,False,2940
ATOX1,False,False,11681
ATP10A,False,False,11681
ATP10B,False,False,991
ATP10D,False,False,11681
ATP11A,False,False,7766
ATP11B,False,False,3456
ATP12A,False,False,3456
ATP13A1,False,False,7766
ATP13A2,False,False,6116
ATP13A3,False,False,7766
ATP1A1,False,False,11681
ATP1A2,False,False,11681
ATP1A3 /// LOC101927137,False,False,7766
ATP1B1,False,False,280
ATP1B2,False,False,1240
ATP1B3,False,False,131
ATP1B4,False,False,7766
ATP2A1,False,False,9587
ATP2A2,False,False,11681
ATP2A3,False,False,7766
ATP2B1,False,False,11681
ATP2B2,False,False,2657
ATP2B3,False,False,6116
ATP2B4,False,False,11681
ATP2C1,False,False,7766
ATP2C2,False,False,1765
ATP4A,False,False,11681
ATP4B,False,False,3456
ATP5A1,False,False,7766
ATP5B,False,False,1014
ATP5C1,False,False,1006
ATP5D,False,False,3069
ATP5E,False,False,7766
ATP5F1,False,False,11681
ATP5G1,False,False,5102
ATP5G2,False,False,1173
ATP5G2P1 /// ATP5G2P1,False,False,11681
ATP5G3,False,False,11681
ATP5H,False,False,7766
ATP5I,False,False,11681
ATP5J,False,False,9195
ATP5J2-PTCD1 /// PTCD1,False,False,11681
ATP5L,False,False,6116
ATP5O,False,False,841
ATP5S,False,False,2080
ATP5SL,False,False,11681
ATP6AP1,False,False,11681
ATP6AP2,False,False,1227
ATP6V0A1,False,False,9195
ATP6V0A2,False,False,1284
ATP6V0A4,False,False,11681
ATP6V0B,False,False,11681
ATP6V0C,False,False,5102
ATP6V0D1,False,False,1655
ATP6V0E1,False,False,6116
ATP6V0E2,False,False,849
ATP6V1A,False,False,5102
