Gene_Symbol,Mean_T1D,Mean_Control,Log2FC,P_Value,FDR
FXYD3,6.739413380412118,6.376759065545284,0.36265431486683397,0.0004386907736061975,0.05778163641250002
FPR2,8.827067051720334,8.230940317053046,0.5961267346672887,0.00042468370624492493,0.05778163641250002
VWA5A,7.750805698700449,7.514538849061015,0.236266849639434,0.00043688185302018207,0.05778163641250002
LOC101060747 /// PDPK1,8.925358227184155,8.580270824855214,0.3450874023289412,0.0004498940091584837,0.05778163641250002
CDK4,9.503597681558073,9.252799973528615,0.25079770802945767,0.0004531893051960786,0.05778163641250002
KIAA0195 /// MIR6785,6.193989444878011,5.824353302401216,0.36963614247679466,0.000447348522241364,0.05778163641250002
ERGIC2,9.274644426203512,8.894010285487367,0.3806341407161451,0.000436368790039315,0.05778163641250002
CARF,6.927434261977171,7.35751826773532,-0.43008400575814854,0.00043716948421399784,0.05778163641250002
ALDH3A1,5.119903346876474,5.952822195937121,-0.832918849060647,0.00048613335604417047,0.05916783416211143
DNAJA3,9.550783810756986,9.320535891578542,0.2302479191784439,0.0004772455817298841,0.05916783416211143
SPAM1,5.619535918722123,5.022968643013514,0.5965672757086091,0.0004797858472118958,0.05916783416211143
RNF38,10.080439328834188,10.35027174439353,-0.2698324155593408,0.0004836453373076253,0.05916783416211143
AFAP1,4.117178748098195,5.0318508635934664,-0.9146721154952715,0.00047876709317559165,0.05916783416211143
ZNF654,7.514864342012257,7.007431785226582,0.507432556785675,0.0004903290733375125,0.05916783416211143
TMEM38B,6.490952546987452,6.850100169083646,-0.3591476220961942,0.0005014576136904283,0.059630726930348085
CANT1,8.894598140457223,8.483084333443449,0.41151380701377427,0.000511813860445459,0.059630726930348085
ZNF692,9.133922870334407,8.823949043947712,0.30997382638669535,0.0005096567457730198,0.059630726930348085
C5orf45,8.696573196075756,8.260010286905802,0.4365629091699539,0.0005113072278291812,0.059630726930348085
REPS1,5.6214652665419385,6.206592710933752,-0.585127444391814,0.0005237143175917115,0.059983042391965946
TMX2,10.026386019175748,9.78057438228428,0.24581163689146734,0.0005197282564053495,0.059983042391965946
XPO6,10.98538605306818,10.734807591292062,0.25057846177611687,0.000548827352969384,0.06072439059970688
MKL2,8.622448262217755,8.376475790997677,0.24597247122007815,0.0005526526114512724,0.06072439059970688
DHRS9,8.112886272298848,7.750073496518425,0.3628127757804229,0.000540463974684305,0.06072439059970688
CLASRP,9.842307804074236,9.409680354697473,0.43262744937676345,0.0005435390481695627,0.06072439059970688
CXXC1,10.323222263452605,10.073853483147031,0.24936878030557352,0.0005484367945061703,0.06072439059970688
IER5,10.93613963301891,11.297120677350463,-0.3609810443315542,0.0005602686523270703,0.061064764808067384
CCS,8.949190913726284,8.654341379066246,0.29484953466003816,0.0005788174971418806,0.06232162009038118
SEMA4D,10.964068564335834,10.713224629304014,0.25084393503182056,0.0005856341658511587,0.06232162009038118
MMP25,8.048715351096979,7.558558545843982,0.49015680525299654,0.0005824894252844673,0.06232162009038118
KDM4A,8.289859867193824,8.055710149411984,0.23414971778183968,0.0005917617325940772,0.06248171731256995
GNG11,8.92230612757122,9.647232191380448,-0.7249260638092281,0.0006013730768352926,0.06300431886379053
METTL3,10.00922008270156,9.75335428492425,0.2558657977773109,0.0006246411314219572,0.06412527975777156
BECN1,9.902864740935819,10.038792691420591,-0.13592795048477235,0.0006177159822074735,0.06412527975777156
ZNF223,6.887546341272909,6.497849246812211,0.3896970944606979,0.0006263068389216312,0.06412527975777156
RIOK3,9.959293299081196,10.20167891298001,-0.2423856138988132,0.0006492285555618459,0.0659589689362692
PSTPIP2,8.66484865250065,9.07010877690687,-0.4052601244062206,0.0006539771984802125,0.0659589689362692
